keV	cps	count
32.463	   0.197	      25
32.483	   0.126	      16
32.503	   0.236	      30
32.523	   0.110	      14
32.543	   0.197	      25
32.563	   0.213	      27
32.583	   0.126	      16
32.603	   0.181	      23
32.623	   0.150	      19
32.643	   0.150	      19
32.663	   0.134	      17
32.683	   0.173	      22
32.703	   0.181	      23
32.723	   0.110	      14
32.743	   0.173	      22
32.763	   0.189	      24
32.783	   0.228	      29
32.803	   0.173	      22
32.823	   0.165	      21
32.843	   0.157	      20
32.863	   0.228	      29
32.883	   0.173	      22
32.903	   0.134	      17
32.923	   0.165	      21
32.943	   0.165	      21
32.963	   0.142	      18
32.983	   0.181	      23
33.003	   0.173	      22
33.023	   0.118	      15
33.043	   0.142	      18
33.063	   0.150	      19
33.083	   0.299	      38
33.103	   0.165	      21
33.123	   0.110	      14
33.143	   0.157	      20
33.163	   0.110	      14
33.183	   0.134	      17
33.203	   0.165	      21
33.223	   0.220	      28
33.243	   0.236	      30
33.263	   0.150	      19
33.283	   0.181	      23
33.303	   0.118	      15
33.323	   0.205	      26
33.343	   0.213	      27
33.363	   0.181	      23
33.383	   0.118	      15
33.403	   0.150	      19
33.423	   0.165	      21
33.443	   0.150	      19
33.464	   0.173	      22
33.484	   0.197	      25
33.504	   0.134	      17
33.524	   0.181	      23
33.544	   0.165	      21
33.564	   0.150	      19
33.584	   0.118	      15
33.604	   0.189	      24
33.624	   0.142	      18
33.644	   0.181	      23
33.664	   0.165	      21
33.684	   0.134	      17
33.704	   0.102	      13
33.724	   0.181	      23
33.744	   0.126	      16
33.764	   0.126	      16
33.784	   0.205	      26
33.804	   0.110	      14
33.824	   0.142	      18
33.844	   0.110	      14
33.864	   0.150	      19
33.884	   0.110	      14
33.904	   0.142	      18
33.924	   0.165	      21
33.944	   0.126	      16
33.964	   0.110	      14
33.984	   0.094	      12
34.004	   0.126	      16
34.024	   0.181	      23
34.044	   0.142	      18
34.064	   0.157	      20
34.084	   0.126	      16
34.104	   0.173	      22
34.124	   0.197	      25
34.144	   0.142	      18
34.164	   0.157	      20
34.184	   0.079	      10
34.204	   0.126	      16
34.224	   0.181	      23
34.244	   0.181	      23
34.264	   0.102	      13
34.284	   0.079	      10
34.304	   0.134	      17
34.324	   0.110	      14
34.344	   0.087	      11
34.364	   0.118	      15
34.384	   0.079	      10
34.404	   0.173	      22
34.424	   0.118	      15
34.444	   0.063	       8
34.464	   0.118	      15
34.484	   0.197	      25
34.504	   0.102	      13
34.524	   0.118	      15
34.544	   0.102	      13
34.564	   0.094	      12
34.584	   0.157	      20
34.604	   0.102	      13
34.624	   0.157	      20
34.644	   0.118	      15
34.664	   0.055	       7
34.684	   0.150	      19
34.704	   0.118	      15
34.724	   0.157	      20
34.744	   0.118	      15
34.764	   0.071	       9
34.784	   0.126	      16
34.804	   0.134	      17
34.824	   0.079	      10
34.844	   0.134	      17
34.864	   0.071	       9
34.884	   0.118	      15
34.904	   0.102	      13
34.924	   0.150	      19
34.944	   0.150	      19
34.964	   0.157	      20
34.984	   0.150	      19
35.004	   0.150	      19
35.024	   0.118	      15
35.044	   0.150	      19
35.064	   0.087	      11
35.084	   0.118	      15
35.104	   0.150	      19
35.124	   0.102	      13
35.144	   0.079	      10
35.164	   0.173	      22
35.184	   0.094	      12
35.204	   0.102	      13
35.224	   0.126	      16
35.244	   0.110	      14
35.264	   0.142	      18
35.284	   0.126	      16
35.304	   0.142	      18
35.324	   0.102	      13
35.344	   0.126	      16
35.364	   0.126	      16
35.384	   0.134	      17
35.404	   0.094	      12
35.424	   0.110	      14
35.444	   0.142	      18
35.464	   0.118	      15
35.484	   0.118	      15
35.504	   0.094	      12
35.524	   0.126	      16
35.544	   0.102	      13
35.564	   0.063	       8
35.584	   0.134	      17
35.604	   0.126	      16
35.624	   0.118	      15
35.644	   0.102	      13
35.664	   0.134	      17
35.684	   0.142	      18
35.704	   0.071	       9
35.724	   0.118	      15
35.744	   0.142	      18
35.764	   0.110	      14
35.784	   0.102	      13
35.805	   0.110	      14
35.825	   0.087	      11
35.845	   0.102	      13
35.865	   0.110	      14
