keV	cps	count
 4.891	   0.229	      29
 4.911	   0.245	      31
 4.931	   0.245	      31
 4.951	   0.206	      26
 4.971	   0.309	      39
 4.991	   0.277	      35
 5.011	   0.253	      32
 5.031	   0.158	      20
 5.051	   0.309	      39
 5.071	   0.316	      40
 5.091	   0.135	      17
 5.111	   0.229	      29
 5.131	   0.316	      40
 5.151	   0.222	      28
 5.171	   0.269	      34
 5.191	   0.316	      40
 5.211	   0.293	      37
 5.231	   0.245	      31
 5.251	   0.261	      33
 5.271	   0.245	      31
 5.291	   0.214	      27
 5.311	   0.340	      43
 5.331	   0.269	      34
 5.351	   0.245	      31
 5.372	   0.269	      34
 5.392	   0.293	      37
 5.412	   0.293	      37
 5.432	   0.301	      38
 5.452	   0.316	      40
 5.472	   0.253	      32
 5.492	   0.261	      33
 5.512	   0.348	      44
 5.532	   0.356	      45
 5.552	   0.261	      33
 5.572	   0.309	      39
 5.592	   0.269	      34
 5.612	   0.182	      23
 5.632	   0.332	      42
 5.652	   0.356	      45
 5.672	   0.301	      38
 5.692	   0.332	      42
 5.712	   0.285	      36
 5.732	   0.285	      36
 5.752	   0.293	      37
 5.772	   0.348	      44
 5.792	   0.301	      38
 5.812	   0.356	      45
 5.832	   0.419	      53
 5.852	   0.340	      43
 5.872	   0.380	      48
 5.892	   0.372	      47
 5.912	   0.380	      48
 5.932	   0.372	      47
 5.952	   0.459	      58
 5.972	   0.530	      67
 5.992	   0.506	      64
 6.012	   0.680	      86
 6.032	   0.601	      76
 6.052	   0.965	     122
 6.072	   1.108	     140
 6.092	   1.495	     189
 6.112	   2.089	     264
 6.132	   2.500	     316
 6.152	   3.679	     465
 6.172	   4.985	     630
 6.192	   6.551	     828
 6.212	   8.482	    1072
 6.232	  11.014	    1392
 6.252	  12.849	    1624
 6.272	  15.800	    1997
 6.292	  18.878	    2386
 6.312	  20.785	    2627
 6.332	  25.303	    3198
 6.352	  25.674	    3245
 6.372	  28.096	    3551
 6.392	  27.914	    3528
 6.412	  27.819	    3516
 6.432	  26.466	    3345
 6.452	  25.785	    3259
