keV	cps	count
 4.891	   1.340	     167
 4.911	   1.380	     172
 4.931	   1.477	     184
 4.951	   1.388	     173
 4.971	   1.549	     193
 4.991	   1.677	     209
 5.011	   1.685	     210
 5.031	   2.030	     253
 5.051	   2.456	     306
 5.071	   2.720	     339
 5.091	   3.916	     488
 5.111	   5.377	     670
 5.131	   7.704	     960
 5.151	  10.465	    1304
 5.171	  14.911	    1858
 5.191	  20.392	    2541
 5.211	  26.699	    3327
 5.231	  36.450	    4542
 5.251	  46.136	    5749
 5.271	  58.013	    7229
 5.291	  70.789	    8821
 5.311	  84.215	   10494
 5.331	  96.589	   12036
 5.351	 105.337	   13126
 5.372	 115.384	   14378
 5.392	 117.446	   14635
 5.412	 119.116	   14843
 5.432	 119.637	   14908
 5.452	 111.155	   13851
 5.472	 101.942	   12703
 5.492	  92.376	   11511
 5.512	  80.555	   10038
 5.532	  67.964	    8469
 5.552	  56.368	    7024
 5.572	  44.443	    5538
 5.592	  34.644	    4317
 5.612	  25.038	    3120
 5.632	  19.926	    2483
 5.652	  15.015	    1871
 5.672	  11.275	    1405
 5.692	   9.550	    1190
 5.712	   7.937	     989
 5.732	   8.137	    1014
 5.752	   8.779	    1094
 5.772	  10.304	    1284
 5.792	  12.655	    1577
 5.812	  13.594	    1694
 5.832	  15.344	    1912
 5.852	  17.880	    2228
 5.872	  19.356	    2412
 5.892	  21.973	    2738
 5.912	  22.815	    2843
 5.932	  22.695	    2828
 5.952	  23.241	    2896
 5.972	  22.799	    2841
 5.992	  22.815	    2843
 6.012	  20.721	    2582
 6.032	  20.360	    2537
 6.052	  20.817	    2594
 6.072	  21.250	    2648
 6.092	  23.794	    2965
 6.112	  30.270	    3772
 6.132	  38.071	    4744
 6.152	  50.301	    6268
 6.172	  69.625	    8676
 6.192	  93.419	   11641
 6.212	 122.422	   15255
 6.232	 156.023	   19442
 6.252	 198.275	   24707
 6.272	 240.863	   30014
 6.292	 287.328	   35804
 6.312	 329.990	   41120
 6.332	 367.876	   45841
 6.352	 403.194	   50242
 6.372	 426.675	   53168
 6.392	 438.183	   54602
 6.412	 429.933	   53574
 6.432	 413.980	   51586
 6.452	 391.983	   48845
 6.472	 355.838	   44341
 6.492	 312.463	   38936
 6.512	 269.802	   33620
 6.532	 224.019	   27915
 6.552	 179.063	   22313
 6.572	 143.167	   17840
 6.592	 108.844	   13563
