1.01863765141109	1.1872200242839E-4	
1.04894031172056	1.21814476071012E-4	
1.10970564603924	1.28049343425524E-4	
1.16048464995867	1.34909084320916E-4	
1.23055634171991	1.42890798513742E-4	
1.29783180194814	1.50545612102927E-4	
1.38364828185203	1.62005164864939E-4	
1.46719490688956	1.71979750023254E-4	
1.59713215721646	1.86899470318276E-4	
1.7172497214639		2.01735660667217E-4	
1.88380859698765	2.23929005919329E-4	
2.06811708360042	2.46504557796538E-4	
2.2634627883075		2.72384168745059E-4	
2.4525407736061		2.93783909080793E-4	
2.72172956688923	3.28579373164349E-4	
3.00188108799262	3.66663098385243E-4	
3.2426214508479		4.01801021886952E-4	
3.57087550816332	4.40306269980226E-4	
3.81581304930217	4.83597544572198E-4	
4.32375991334076	5.49533368571935E-4	
4.63461924509135	5.99016343184537E-4	
4.97933830061656	6.5642105758254E-4	
5.25156254947771	6.98947897989018E-4	
5.61178368154052	7.55572826186519E-4	
5.90490272754796	8.08793884846059E-4	
6.34410439300612	8.84293245217396E-4	
6.80021761198504	9.61008136799902E-4	
7.30601204052458	0.00106673057228577	
7.80715430119594	0.00117516217676494	
8.29774240536571	0.00128388992903715	
8.29774240536571	0.00128388992903715	
8.89431360979634	0.00141439546492129	
9.40956308013837	0.00153709819428518	
9.89341567149894	0.00165911395685848	
