1.00105932370292	2.26237104907412E-5	
1.06993505072432	2.42592334274399E-5	
1.17493993828466	2.67341020539499E-5	
1.27634963169055	2.90823162434013E-5	
1.45127176528103	3.2866638455932E-5	
1.59740505081351	3.6850552060351E-5	
1.81071486757553	4.19162924479188E-5	
2.01007646856452	4.67610246883729E-5	
2.26618553665204	5.40378486111346E-5	
2.50210681090734	6.02836039506945E-5	
2.81436663371785	6.77369194420753E-5	
3.073879187344		7.67165845082535E-5	
3.39388541942701	8.62016330171126E-5	
3.77631091414526	9.83341542850957E-5	
4.13410897785116	1.12497613952458E-4	
4.62492419360117	1.30285134298712E-4	
5.03967678202216	1.49695530924418E-4	
5.60755125284336	1.73739237628168E-4	
6.07741910531924	1.97764931149199E-4	
6.71010889894869	2.33527775154718E-4	
7.24989019796302	2.67741066419728E-4	
7.74870325168194	3.03234636554202E-4	
8.35262212187353	3.48662535480361E-4	
8.90660881977554	3.96592180732948E-4	
9.41685141920364	4.46910349008953E-4	
9.85668359948434	4.85116760937517E-4	
