ID;Time;X-Axis;Y-Axis;Z-Axis
1;31/12/2022, 11:52:29,261;-0,0984110161662102;-0,12719564139843;-0,98698353767395
2;31/12/2022, 11:52:30,265;-0,100056976079941;-0,128476560115814;-0,986652135848999
3;31/12/2022, 11:52:31,270;-0,100521020591259;-0,128709495067596;-0,986574590206146
4;31/12/2022, 11:52:32,275;-0,100472986698151;-0,128818958997726;-0,986565172672272
5;31/12/2022, 11:52:33,280;-0,100500896573067;-0,128877848386765;-0,986554622650146
6;31/12/2022, 11:52:34,285;-0,100610166788101;-0,129207387566566;-0,986500382423401
7;31/12/2022, 11:52:35,290;-0,100810848176479;-0,129339516162872;-0,986462593078613
8;31/12/2022, 11:52:36,295;-0,100837588310242;-0,129617318511009;-0,986423373222351
9;31/12/2022, 11:52:37,300;-0,100809842348099;-0,129526987671852;-0,986438095569611
10;31/12/2022, 11:52:38,305;-0,100559309124947;-0,129455119371414;-0,986473083496094
11;31/12/2022, 11:52:39,310;-0,100461289286613;-0,129582524299622;-0,986466348171234
12;31/12/2022, 11:52:40,314;-0,100275382399559;-0,129616528749466;-0,986480832099915
13;31/12/2022, 11:52:41,319;-0,100149691104889;-0,129549086093903;-0,986502468585968
14;31/12/2022, 11:52:42,324;-0,100181967020035;-0,1296776086092;-0,986482262611389
15;31/12/2022, 11:52:43,330;-0,100114621222019;-0,129520177841187;-0,986509799957275
16;31/12/2022, 11:52:44,334;-0,100055649876595;-0,12934535741806;-0,986538708209992
17;31/12/2022, 11:52:45,339;-0,0999539345502853;-0,129312962293625;-0,986553251743317
18;31/12/2022, 11:52:46,344;-0,0998570397496223;-0,129170000553131;-0,986581802368164
19;31/12/2022, 11:52:47,349;-0,09991654753685;-0,129282251000404;-0,986561119556427
20;31/12/2022, 11:52:48,353;-0,100141830742359;-0,129379272460938;-0,986525535583496
21;31/12/2022, 11:52:49,358;-0,100253328680992;-0,129185348749161;-0,986539602279663
22;31/12/2022, 11:52:50,364;-0,10018302500248;-0,129035502672195;-0,986566364765167
23;31/12/2022, 11:52:51,368;-0,0861066058278084;-0,117841698229313;-0,989292144775391
24;31/12/2022, 11:52:52,373;-0,101408883929253;-0,130198568105698;-0,98628830909729
