ID;Time;X-Axis;Y-Axis;Z-Axis
1;31/12/2022, 12:38:08,876;-0,127878561615944;-0,0891917049884796;-0,987771213054657
2;31/12/2022, 12:38:09,888;-0,128259733319283;-0,0888666883111;-0,987751066684723
3;31/12/2022, 12:38:10,884;-0,128602087497711;-0,088565818965435;-0,987733542919159
4;31/12/2022, 12:38:11,888;-0,128855168819428;-0,0885929241776466;-0,987698137760162
5;31/12/2022, 12:38:12,895;-0,12900048494339;-0,0885670408606529;-0,98768150806427
6;31/12/2022, 12:38:13,900;-0,128836140036583;-0,0886281132698059;-0,98769748210907
7;31/12/2022, 12:38:14,905;-0,12863352894783;-0,0885574668645859;-0,987730205059052
8;31/12/2022, 12:38:15,910;-0,128468915820122;-0,0884157344698906;-0,987764358520508
9;31/12/2022, 12:38:16,952;-0,128433346748352;-0,0883877500891686;-0,987771451473236
10;31/12/2022, 12:38:17,916;-0,128572717308998;-0,088326208293438;-0,987758815288544
11;31/12/2022, 12:38:18,921;-0,128731220960617;-0,0882220342755318;-0,987747490406036
12;31/12/2022, 12:38:19,926;-0,128751292824745;-0,0881179422140122;-0,987754166126251
13;31/12/2022, 12:38:20,935;-0,12882237136364;-0,088257871568203;-0,987732410430908
14;31/12/2022, 12:38:21,938;-0,128730237483978;-0,0883306041359901;-0,987737953662872
15;31/12/2022, 12:38:22,945;-0,128878712654114;-0,0884111672639847;-0,987711369991302
16;31/12/2022, 12:38:23,950;-0,128765091300011;-0,0883670821785927;-0,987730145454407
17;31/12/2022, 12:38:24,954;-0,12878192961216;-0,0885579809546471;-0,9877108335495
18;31/12/2022, 12:38:25,960;-0,128594800829887;-0,0885662660002708;-0,987734496593475
19;31/12/2022, 12:38:26,964;-0,12889689207077;-0,0884259790182114;-0,987707674503326
20;31/12/2022, 12:38:27,969;-0,128811851143837;-0,0882736891508102;-0,987732410430908
21;31/12/2022, 12:38:28,975;-0,128690823912621;-0,0883471071720123;-0,987741589546204
22;31/12/2022, 12:38:30,019;-0,128737062215805;-0,0883815586566925;-0,987732470035553
23;31/12/2022, 12:38:30,980;-0,128533080220222;-0,088612750172615;-0,987738311290741
24;31/12/2022, 12:38:31,986;-0,128491386771202;-0,0887164548039436;-0,987734436988831
25;31/12/2022, 12:38:32,991;-0,128528341650963;-0,0886388868093491;-0,987736582756042
26;31/12/2022, 12:38:33,997;-0,128360345959663;-0,0884920358657837;-0,98777163028717
27;31/12/2022, 12:38:35,003;-0,128302127122879;-0,0886505991220474;-0,987764954566956
28;31/12/2022, 12:38:36,008;-0,128274649381638;-0,0886773318052292;-0,987766146659851
29;31/12/2022, 12:38:37,011;-0,128178372979164;-0,0885847359895706;-0,987786948680878
30;31/12/2022, 12:38:38,018;-0,128028497099876;-0,0886306464672089;-0,987802267074585
31;31/12/2022, 12:38:39,022;-0,127795740962028;-0,0886512473225594;-0,987830579280853
32;31/12/2022, 12:38:40,029;-0,127993166446686;-0,0886723324656486;-0,987803101539612
33;31/12/2022, 12:38:41,031;-0,128003522753716;-0,0884290039539337;-0,98782354593277
34;31/12/2022, 12:38:42,037;-0,128119319677353;-0,0884601697325706;-0,987805783748627
35;31/12/2022, 12:38:43,056;-0,12823449075222;-0,0886149778962135;-0,987776935100555
36;31/12/2022, 12:38:44,045;-0,12827830016613;-0,0884926542639732;-0,98778223991394
37;31/12/2022, 12:38:45,049;-0,128240197896957;-0,0884059816598892;-0,987794935703278
38;31/12/2022, 12:38:46,055;-0,128216907382011;-0,0882329195737839;-0,987813413143158
39;31/12/2022, 12:38:47,060;-0,128151074051857;-0,0881363525986671;-0,987830579280853
40;31/12/2022, 12:38:48,065;-0,125253781676292;-0,0905370786786079;-0,987985074520111
41;31/12/2022, 12:38:52,774;-0,127574533224106;-0,0869350731372833;-0,988011658191681
42;31/12/2022, 12:38:53,967;-0,127757474780083;-0,0871444642543793;-0,98796957731247
43;31/12/2022, 12:38:54,732;-0,126809000968933;-0,087616853415966;-0,988049983978272
44;31/12/2022, 12:38:55,737;-0,124943874776363;-0,0863441750407219;-0,988399565219879
45;31/12/2022, 12:38:56,742;-0,124106526374817;-0,0872751325368881;-0,9884232878685
46;31/12/2022, 12:38:57,747;-0,12287587672472;-0,0882892236113548;-0,988487005233765
47;31/12/2022, 12:38:58,752;-0,12250342220068;-0,08781548589468;-0,988575398921967
48;31/12/2022, 12:38:59,757;-0,122028201818466;-0,0875439494848251;-0,988658249378204
49;31/12/2022, 12:39:00,776;-0,122318752110004;-0,0871972069144249;-0,988653004169464
50;31/12/2022, 12:39:01,856;-0,12162833660841;-0,0867491215467453;-0,988777577877045
51;31/12/2022, 12:39:02,898;-0,122086018323898;-0,0868299975991249;-0,988714098930359
52;31/12/2022, 12:39:03,931;-0,121872052550316;-0,0864090695977211;-0,988777339458466
53;31/12/2022, 12:39:05,008;-0,118878826498985;-0,0849127247929573;-0,989271283149719
54;31/12/2022, 12:39:06,074;-0,119758881628513;-0,0863068029284477;-0,989044487476349
55;31/12/2022, 12:39:07,340;-0,119655549526215;-0,0862669944763184;-0,989060461521149
56;31/12/2022, 12:39:08,113;-0,121417842805386;-0,08916886895895;-0,988588213920593
57;31/12/2022, 12:39:08,802;-0,123218081891537;-0,0888612493872642;-0,988393127918243
58;31/12/2022, 12:39:09,986;-0,125228703022003;-0,086598664522171;-0,988341271877289
59;31/12/2022, 12:39:10,969;-0,123936705291271;-0,0852865651249886;-0,988618195056915
60;31/12/2022, 12:39:11,816;-0,126605421304703;-0,0864716619253159;-0,988176941871643
61;31/12/2022, 12:39:13,645;-0,12504306435585;-0,0873838141560554;-0,988295674324036
62;31/12/2022, 12:39:13,827;-0,12442597001791;-0,0878159180283546;-0,988335251808166
