ID;Time;X-Axis;Y-Axis;Z-Axis
1;31/12/2022, 13:29:58,716;-0,0723614022135735;0,0381294712424278;-0,996649384498596
2;31/12/2022, 13:29:59,722;-0,072726346552372;0,0382155925035477;-0,996619522571564
3;31/12/2022, 13:30:00,726;-0,0728332102298737;0,0383873879909515;-0,996605098247528
4;31/12/2022, 13:30:01,731;-0,0728670209646225;0,0382027477025986;-0,996609747409821
5;31/12/2022, 13:30:02,736;-0,0727976113557816;0,038281574845314;-0,996611773967743
6;31/12/2022, 13:30:03,741;-0,0729068890213966;0,038171760737896;-0,996608018875122
7;31/12/2022, 13:30:04,762;-0,0728035643696785;0,0382198393344879;-0,996613681316376
8;31/12/2022, 13:30:05,746;-0,0726423561573029;0,0380742624402046;-0,996631026268005
9;31/12/2022, 13:30:06,751;-0,0725702494382858;0,0381055735051632;-0,99663507938385
10;31/12/2022, 13:30:07,757;-0,07268425822258;0,0380427949130535;-0,996629178524017
11;31/12/2022, 13:30:08,764;-0,0727999284863472;0,0382558442652226;-0,99661260843277
12;31/12/2022, 13:30:09,769;-0,0728312358260155;0,0379780866205692;-0,996620953083038
13;31/12/2022, 13:30:10,773;-0,0725495740771294;0,0379005931317806;-0,99664443731308
14;31/12/2022, 13:30:11,779;-0,0726313516497612;0,0380404330790043;-0,996633112430572
15;31/12/2022, 13:30:12,783;-0,0726111605763435;0,0381718277931213;-0,996629595756531
16;31/12/2022, 13:30:13,788;-0,0725964158773422;0,0382729433476925;-0,996626794338226
17;31/12/2022, 13:30:14,793;-0,0726368129253388;0,0380477160215378;-0,99663245677948
18;31/12/2022, 13:30:15,797;-0,0725757628679276;0,0382706858217716;-0,99662834405899
19;31/12/2022, 13:30:16,802;-0,0724443420767784;0,0382440015673637;-0,99663895368576
20;31/12/2022, 13:30:17,835;-0,0722625404596329;0,0380789823830128;-0,996658504009247
21;31/12/2022, 13:30:18,808;-0,0721558034420013;0,0381369851529598;-0,996663987636566
22;31/12/2022, 13:30:19,812;-0,0720872431993484;0,0381730385124683;-0,996667563915253
23;31/12/2022, 13:30:20,818;-0,0720269307494164;0,0381122566759586;-0,996674239635468
24;31/12/2022, 13:30:21,825;-0,0721544101834297;0,0383067913353443;-0,99665755033493
25;31/12/2022, 13:30:22,830;-0,0721895918250084;0,038399588316679;-0,996651470661163
26;31/12/2022, 13:30:23,834;-0,0722815841436386;0,0386246256530285;-0,996636092662811
27;31/12/2022, 13:30:24,839;-0,0721442773938179;0,0385750457644463;-0,996647953987122
28;31/12/2022, 13:30:25,844;-0,0720198377966881;0,0384317450225353;-0,996662497520447
29;31/12/2022, 13:30:26,849;-0,0720232874155045;0,0382036045193672;-0,99667102098465
30;31/12/2022, 13:30:27,854;-0,0718794167041779;0,0380400791764259;-0,996687650680542
31;31/12/2022, 13:30:28,858;-0,0719160363078117;0,0379392355680466;-0,996688842773438
32;31/12/2022, 13:30:29,864;-0,0719331130385399;0,0380492471158504;-0,996683418750763
33;31/12/2022, 13:30:30,899;-0,0719258561730385;0,0380943045020103;-0,996682226657867
34;31/12/2022, 13:30:31,868;-0,0718870759010315;0,0381890684366226;-0,996681392192841
35;31/12/2022, 13:30:32,873;-0,0717783346772194;0,0382552407681942;-0,996686697006226
36;31/12/2022, 13:30:33,879;-0,0718967020511627;0,0382280014455318;-0,996679246425629
37;31/12/2022, 13:30:34,886;-0,0719731524586678;0,0382769219577312;-0,996671855449676
38;31/12/2022, 13:30:35,891;-0,0719598904252052;0,0381260737776756;-0,996678590774536
39;31/12/2022, 13:30:36,896;-0,0720180794596672;0,0382238291203976;-0,996670603752136
40;31/12/2022, 13:30:37,901;-0,0722826719284058;0,0383590646088123;-0,996646285057068
41;31/12/2022, 13:30:38,905;-0,0721441432833672;0,0384510159492493;-0,996652781963348
42;31/12/2022, 13:30:39,910;-0,0723237618803978;0,0385073497891426;-0,996637582778931
43;31/12/2022, 13:30:40,915;-0,0723565220832825;0,0385285280644894;-0,996634364128113
44;31/12/2022, 13:30:41,920;-0,0724819079041481;0,0385756231844425;-0,996623456478119
45;31/12/2022, 13:30:42,924;-0,0724295079708099;0,0384871326386929;-0,996630668640137
46;31/12/2022, 13:30:43,963;-0,0724103599786758;0,0373423881828785;-0,996675610542297
