ID;Time;X-Axis;Y-Axis;Z-Axis
1;31/12/2022, 11:25:02,385;-0,0474537424743176;-0,0245207622647285;-0,998572409152985
2;31/12/2022, 11:25:03,859;-0,0478794723749161;-0,0274438764899969;-0,998476028442383
3;31/12/2022, 11:25:04,796;-0,0474354363977909;-0,0289026964455843;-0,998456060886383
4;31/12/2022, 11:25:05,660;-0,048600897192955;-0,0227779541164637;-0,998558521270752
5;31/12/2022, 11:25:06,484;-0,0485212542116642;-0,0224280450493097;-0,998570322990418
6;31/12/2022, 11:25:07,410;-0,0485400408506393;-0,0222065877169371;-0,998574376106262
7;31/12/2022, 11:25:08,415;-0,0486295744776726;-0,0220973771065474;-0,998572409152985
8;31/12/2022, 11:25:09,952;-0,0486069396138191;-0,0220968145877123;-0,998573541641235
9;31/12/2022, 11:25:10,825;-0,0485126934945583;-0,0220766346901655;-0,998578548431396
10;31/12/2022, 11:25:11,676;-0,0484693497419357;-0,0219819433987141;-0,998582780361176
11;31/12/2022, 11:25:12,507;-0,0485320053994656;-0,021935049444437;-0,998580753803253
12;31/12/2022, 11:25:13,441;-0,0487460978329182;-0,0220109820365906;-0,998568654060364
13;31/12/2022, 11:25:14,580;-0,0486051626503468;-0,0218172706663609;-0,998579740524292
14;31/12/2022, 11:25:15,451;-0,0487486161291599;-0,0218282956629992;-0,998572528362274
15;31/12/2022, 11:25:16,457;-0,0492073968052864;-0,0218930914998054;-0,998548626899719
16;31/12/2022, 11:25:17,462;-0,0490261316299438;-0,0219408944249153;-0,99855649471283
17;31/12/2022, 11:25:18,467;-0,0489736869931221;-0,0220782645046711;-0,998556017875671
18;31/12/2022, 11:25:19,472;-0,0490982495248318;-0,0219564642757177;-0,998552560806274
19;31/12/2022, 11:25:20,477;-0,0491072759032249;-0,0222404953092337;-0,99854588508606
20;31/12/2022, 11:25:21,508;-0,0490501783788204;-0,0222531277686358;-0,99854838848114
21;31/12/2022, 11:25:22,487;-0,0489576309919357;-0,0224466640502214;-0,998548567295074
22;31/12/2022, 11:25:23,493;-0,0490493439137936;-0,0226372815668583;-0,998539805412292
23;31/12/2022, 11:25:24,497;-0,0490140058100224;-0,0225194618105888;-0,998544216156006
24;31/12/2022, 11:25:25,503;-0,0489502996206284;-0,0225957203656435;-0,998545587062836
25;31/12/2022, 11:25:26,507;-0,0486929900944233;-0,0228179395198822;-0,998553097248077
26;31/12/2022, 11:25:27,513;-0,0486912913620472;-0,0232799053192139;-0,998542547225952
27;31/12/2022, 11:25:28,518;-0,0487967282533646;-0,0235157459974289;-0,998531877994537
28;31/12/2022, 11:25:29,523;-0,0488382913172245;-0,0237849857658148;-0,998523473739624
29;31/12/2022, 11:25:30,528;-0,0487881824374199;-0,0237256195396185;-0,998527348041534
30;31/12/2022, 11:25:31,533;-0,0487656816840172;-0,0238069016486406;-0,998526513576508
31;31/12/2022, 11:25:32,539;-0,0488407388329506;-0,0239805858582258;-0,998518645763397
32;31/12/2022, 11:25:33,544;-0,0489494018256664;-0,0239051766693592;-0,998515129089356
33;31/12/2022, 11:25:34,549;-0,0490248501300812;-0,0237732511013746;-0,998514592647552
34;31/12/2022, 11:25:35,582;-0,0491138957440853;-0,0236026849597692;-0,998514294624329
35;31/12/2022, 11:25:36,559;-0,0489727295935154;-0,0234783589839935;-0,998524129390717
36;31/12/2022, 11:25:37,564;-0,0490632355213165;-0,0234176497906446;-0,998521089553833
37;31/12/2022, 11:25:38,569;-0,049030140042305;-0,0232066363096237;-0,998527646064758
38;31/12/2022, 11:25:39,574;-0,0490746796131134;-0,0231311358511448;-0,998527228832245
39;31/12/2022, 11:25:40,579;-0,0490761287510395;-0,02300775796175;-0,998530030250549
40;31/12/2022, 11:25:41,584;-0,04917261749506;-0,0229581072926521;-0,998526394367218
41;31/12/2022, 11:25:42,589;-0,0489415563642979;-0,023063724860549;-0,998535335063934
42;31/12/2022, 11:25:43,594;-0,049298170953989;-0,0230027865618467;-0,9985191822052
43;31/12/2022, 11:25:44,599;-0,0493337549269199;-0,0226841941475868;-0,998524725437164
44;31/12/2022, 11:25:45,604;-0,0495436638593674;-0,0227621849626303;-0,99851256608963
45;31/12/2022, 11:25:46,610;-0,0496424660086632;-0,022721204906702;-0,99850857257843
46;31/12/2022, 11:25:47,614;-0,0499441362917423;-0,0227227713912725;-0,998493492603302
47;31/12/2022, 11:25:48,619;-0,0498302057385445;-0,0227999798953533;-0,998497426509857
48;31/12/2022, 11:25:49,647;-0,0496771894395351;-0,0227906703948975;-0,998505234718323
49;31/12/2022, 11:25:50,629;-0,0496951043605804;-0,0227788127958775;-0,998504638671875
50;31/12/2022, 11:25:51,635;-0,0494626723229885;-0,0228462871164083;-0,998514652252197
51;31/12/2022, 11:25:52,639;-0,049453143030405;-0,0229028109461069;-0,99851381778717
52;31/12/2022, 11:25:53,645;-0,0494821034371853;-0,0229362174868584;-0,998511612415314
53;31/12/2022, 11:25:54,650;-0,0494870506227016;-0,0229421705007553;-0,998511254787445
54;31/12/2022, 11:25:55,655;-0,0496372021734714;-0,0229428336024284;-0,998503744602203
55;31/12/2022, 11:25:56,659;-0,0497266873717308;-0,0227383449673653;-0,998503983020782
56;31/12/2022, 11:25:57,665;-0,0460659079253674;-0,0296758878976107;-0,998497486114502
57;31/12/2022, 11:25:58,670;-0,0454826541244984;-0,028660710901022;-0,99855387210846
