ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 11:48:12,120;-0,0163864176720381;-0,147718161344528;-0,988893747329712
2;29/12/2022, 11:48:13,128;-0,0158985313028097;-0,147358149290085;-0,988955438137054
3;29/12/2022, 11:48:14,129;-0,0158255118876696;-0,147145479917526;-0,988988220691681
4;29/12/2022, 11:48:15,131;-0,0155170494690537;-0,146848127245903;-0,989037334918976
5;29/12/2022, 11:48:16,133;-0,0154580762609839;-0,146504074335098;-0,98908931016922
6;29/12/2022, 11:48:17,133;-0,0154958302155137;-0,146362364292145;-0,989109694957733
7;29/12/2022, 11:48:18,135;-0,0154280327260494;-0,146110609173775;-0,989147961139679
8;29/12/2022, 11:48:19,136;-0,0154713345691562;-0,146274849772453;-0,989122986793518
9;29/12/2022, 11:48:20,150;-0,0155366417020559;-0,146233201026916;-0,989128112792969
10;29/12/2022, 11:48:21,139;-0,0154956849291921;-0,146193295717239;-0,989134669303894
11;29/12/2022, 11:48:22,141;-0,0156877562403679;-0,146204426884651;-0,989130020141602
12;29/12/2022, 11:48:23,143;-0,0157731920480728;-0,146095871925354;-0,989144682884216
13;29/12/2022, 11:48:24,604;-0,0157908387482166;-0,146155431866646;-0,98913562297821
14;29/12/2022, 11:48:25,601;-0,015692338347435;-0,146176427602768;-0,989134073257446
15;29/12/2022, 11:48:26,598;-0,0156319942325354;-0,146207869052887;-0,98913037776947
16;29/12/2022, 11:48:27,595;-0,015633711591363;-0,146275624632835;-0,989120304584503
17;29/12/2022, 11:48:28,617;-0,0157009176909924;-0,146494969725609;-0,989086806774139
18;29/12/2022, 11:48:29,586;-0,0158911924809217;-0,146339669823647;-0,989106774330139
19;29/12/2022, 11:48:30,583;-0,015867592766881;-0,146313831210136;-0,989110946655273
20;29/12/2022, 11:48:31,581;-0,0159072019159794;-0,146289438009262;-0,989113926887512
21;29/12/2022, 11:48:32,578;-0,0159693937748671;-0,146297991275787;-0,989111661911011
22;29/12/2022, 11:48:33,574;-0,0158305056393146;-0,146108821034431;-0,989141881465912
23;29/12/2022, 11:48:34,571;-0,0158645045012236;-0,146057620644569;-0,989148855209351
24;29/12/2022, 11:48:35,568;-0,0159167535603046;-0,145905405282974;-0,989170491695404
25;29/12/2022, 11:48:36,564;-0,0159002225846052;-0,145959615707397;-0,989162743091583
26;29/12/2022, 11:48:37,561;-0,0158879850059748;-0,145972743630409;-0,989161014556885
27;29/12/2022, 11:48:38,558;-0,015900481492281;-0,146092563867569;-0,989143133163452
