ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 11:43:22,637;-0,0976507142186165;-0,059828195720911;-0,993420839309692
2;29/12/2022, 11:43:22,658;-0,0976480543613434;-0,05982356518507;-0,993421375751495
3;29/12/2022, 11:43:23,635;-0,0974735468626022;-0,0603694543242454;-0,99340546131134
4;29/12/2022, 11:43:24,631;-0,0974728241562843;-0,060721967369318;-0,993384063243866
5;29/12/2022, 11:43:25,629;-0,097505509853363;-0,0611090064048767;-0,993357121944428
6;29/12/2022, 11:43:26,625;-0,0974211692810059;-0,0615137293934822;-0,99334043264389
7;29/12/2022, 11:43:27,621;-0,097609780728817;-0,0617306232452393;-0,993308424949646
8;29/12/2022, 11:43:28,618;-0,0976161956787109;-0,0618229806423187;-0,993302047252655
9;29/12/2022, 11:43:29,615;-0,0976835712790489;-0,0619259104132652;-0,993289053440094
10;29/12/2022, 11:43:30,612;-0,0975135788321495;-0,062144223600626;-0,993292093276978
11;29/12/2022, 11:43:31,647;-0,0977008417248726;-0,0622951202094555;-0,993264257907867
12;29/12/2022, 11:43:32,603;-0,0976614952087402;-0,0622726753354073;-0,993269503116608
13;29/12/2022, 11:43:33,600;-0,097573921084404;-0,0624120980501175;-0,993269383907318
14;29/12/2022, 11:43:34,598;-0,0976368859410286;-0,0625594928860664;-0,993253946304321
15;29/12/2022, 11:43:35,595;-0,0979269295930862;-0,0626208409667015;-0,993221521377564
16;29/12/2022, 11:43:36,592;-0,0979773253202438;-0,0627986863255501;-0,993205308914185
17;29/12/2022, 11:43:37,588;-0,0981732532382011;-0,0628295764327049;-0,993183970451355
18;29/12/2022, 11:43:38,585;-0,0984015539288521;-0,0628499388694763;-0,993160128593445
19;29/12/2022, 11:43:39,582;-0,0984647944569588;-0,0627904906868935;-0,993157625198364
20;29/12/2022, 11:43:40,578;-0,0986468121409416;-0,0628098249435425;-0,993138313293457
21;29/12/2022, 11:43:41,575;-0,0986930504441261;-0,0627684742212296;-0,993136346340179
22;29/12/2022, 11:43:42,571;-0,0988670885562897;-0,0627230182290077;-0,993121922016144
23;29/12/2022, 11:43:43,568;-0,0988432839512825;-0,062761090695858;-0,993121862411499
24;29/12/2022, 11:43:44,565;-0,0989536419510841;-0,0627145916223526;-0,993113815784454
25;29/12/2022, 11:43:45,562;-0,0987357497215271;-0,0629207715392113;-0,993122458457947
