ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 11:20:22,602;0,0700480341911316;-0,159059211611748;-0,98478090763092
2;29/12/2022, 11:20:23,603;0,0699920654296875;-0,159186646342278;-0,984764277935028
3;29/12/2022, 11:20:24,604;0,0700249597430229;-0,159164637327194;-0,984765529632568
4;29/12/2022, 11:20:25,606;0,0702101215720177;-0,159061849117279;-0,984768927097321
5;29/12/2022, 11:20:26,607;0,0702860504388809;-0,159194320440292;-0,984742105007172
6;29/12/2022, 11:20:27,609;0,0701244622468948;-0,159347996115684;-0,984728753566742
7;29/12/2022, 11:20:28,610;0,0700819864869118;-0,159327834844589;-0,984735071659088
8;29/12/2022, 11:20:29,622;0,0699667185544968;-0,159447103738785;-0,98472398519516
9;29/12/2022, 11:20:30,619;0,069900244474411;-0,159402117133141;-0,98473596572876
10;29/12/2022, 11:20:31,636;0,0696342289447784;-0,159501567482948;-0,984738707542419
11;29/12/2022, 11:20:32,611;0,0695312470197678;-0,159291312098503;-0,984780013561249
12;29/12/2022, 11:20:33,608;0,0694440305233002;-0,15922412276268;-0,984797060489654
13;29/12/2022, 11:20:34,606;0,0695749893784523;-0,158952131867409;-0,984831750392914
14;29/12/2022, 11:20:35,603;0,0693748593330383;-0,159025952219963;-0,98483395576477
15;29/12/2022, 11:20:36,600;0,0695701315999031;-0,159113317728043;-0,984806060791016
16;29/12/2022, 11:20:37,596;0,0694772303104401;-0,15917706489563;-0,984802305698395
17;29/12/2022, 11:20:38,593;0,0693167969584465;-0,159256011247635;-0,98480087518692
18;29/12/2022, 11:20:39,590;0,069556251168251;-0,159073919057846;-0,984813392162323
19;29/12/2022, 11:20:40,586;0,0696402713656426;-0,15909931063652;-0,984803378582001
20;29/12/2022, 11:20:41,583;0,0696578621864319;-0,159064814448357;-0,984807670116425
21;29/12/2022, 11:20:42,580;0,0697336047887802;-0,158904790878296;-0,984828174114227
22;29/12/2022, 11:20:43,576;0,0696630850434303;-0,158833891153336;-0,98484456539154
23;29/12/2022, 11:20:44,573;0,0695012137293816;-0,158795669674873;-0,984862208366394
24;29/12/2022, 11:20:45,570;0,0693463683128357;-0,158899411559105;-0,984856367111206
25;29/12/2022, 11:20:46,566;0,0694006681442261;-0,158878087997437;-0,984855949878693
26;29/12/2022, 11:20:47,563;0,0691264942288399;-0,158903300762176;-0,984871208667755
27;29/12/2022, 11:20:48,564;0,0693459063768387;-0,158807799220085;-0,98487114906311
28;29/12/2022, 11:20:49,555;0,0692796111106873;-0,158547952771187;-0,98491770029068
29;29/12/2022, 11:20:50,552;0,0696670934557915;-0,158470049500465;-0,984902918338776
