ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 11:36:59,045;-0,0477797836065292;-0,0514677874743938;-0,997531056404114
2;29/12/2022, 11:37:00,058;-0,0479884557425976;-0,0517334975302219;-0,997507274150848
3;29/12/2022, 11:37:01,070;-0,0481671765446663;-0,051959190517664;-0,99748694896698
4;29/12/2022, 11:37:02,067;-0,04826919734478;-0,0521396435797214;-0,997472584247589
5;29/12/2022, 11:37:03,076;-0,0481150262057781;-0,052147950977087;-0,997479617595673
6;29/12/2022, 11:37:04,074;-0,0480792559683323;-0,0522543229162693;-0,997475743293762
7;29/12/2022, 11:37:05,084;-0,0479173064231873;-0,0522970929741859;-0,997481286525726
8;29/12/2022, 11:37:06,090;-0,048108272254467;-0,0523468516767025;-0,997469484806061
9;29/12/2022, 11:37:07,111;-0,0485577248036861;-0,0524443164467812;-0,997442603111267
10;29/12/2022, 11:37:08,071;-0,0487949997186661;-0,052539274096489;-0,99742603302002
11;29/12/2022, 11:37:09,203;-0,0487540885806084;-0,052420549094677;-0,997434258460998
12;29/12/2022, 11:37:10,199;-0,0488291010260582;-0,0524417720735073;-0,997429490089416
13;29/12/2022, 11:37:11,196;-0,0489734001457691;-0,0523880161345005;-0,997425258159638
14;29/12/2022, 11:37:12,192;-0,0491597875952721;-0,0522767752408981;-0,99742192029953
15;29/12/2022, 11:37:13,189;-0,0491203591227531;-0,052300002425909;-0,997422635555267
16;29/12/2022, 11:37:14,185;-0,0492866262793541;-0,0525080487132072;-0,997403502464294
17;29/12/2022, 11:37:15,182;-0,0494315624237061;-0,0526577457785606;-0,997388422489166
18;29/12/2022, 11:37:16,179;-0,0495976880192757;-0,052532646805048;-0,997386753559112
19;29/12/2022, 11:37:17,176;-0,0496896989643574;-0,0526657067239284;-0,997375190258026
20;29/12/2022, 11:37:18,172;-0,0496648587286472;-0,0528190098702908;-0,997368335723877
21;29/12/2022, 11:37:19,169;-0,0496924929320812;-0,052838671952486;-0,997365891933441
22;29/12/2022, 11:37:20,166;-0,0497721508145332;-0,0528917126357555;-0,997359097003937
23;29/12/2022, 11:37:21,162;-0,0497462712228298;-0,0529846288263798;-0,997355461120606
24;29/12/2022, 11:37:22,159;-0,049487616866827;-0,0527472198009491;-0,997380912303925
25;29/12/2022, 11:37:23,155;-0,0496010072529316;-0,0526157580316067;-0,99738222360611
26;29/12/2022, 11:37:24,152;-0,0497373156249523;-0,0526095479726791;-0,997375786304474
27;29/12/2022, 11:37:25,149;-0,0497203432023525;-0,0524989888072014;-0,997382462024689
28;29/12/2022, 11:37:26,146;-0,0498956777155399;-0,0526048094034195;-0,997368097305298
29;29/12/2022, 11:37:27,149;-0,0498486943542957;-0,05245091766119;-0,997378587722778
30;29/12/2022, 11:37:28,154;-0,0499412976205349;-0,0521914139389992;-0,997387528419495
31;29/12/2022, 11:37:29,153;-0,0499873869121075;-0,0521507188677788;-0,99738734960556
32;29/12/2022, 11:37:30,156;-0,0500008761882782;-0,0521787591278553;-0,997385203838348
33;29/12/2022, 11:37:31,164;-0,0500091016292572;-0,0521727725863457;-0,997385144233704
34;29/12/2022, 11:37:32,164;-0,0497470237314701;-0,0521752163767815;-0,99739807844162
35;29/12/2022, 11:37:33,162;-0,049530316144228;-0,0520753003656864;-0,997414112091064
36;29/12/2022, 11:37:34,163;-0,0495018102228642;-0,052091259509325;-0,997414708137512
37;29/12/2022, 11:37:35,167;-0,0497561879456043;-0,0518486313521862;-0,997414708137512
