ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 11:40:18,096;-0,0199877358973026;-0,0280436631292105;-0,99940687417984
2;29/12/2022, 11:40:19,189;-0,0205392204225063;-0,0282307621091604;-0,999390423297882
3;29/12/2022, 11:40:20,186;-0,0201989132910967;-0,0283193681389093;-0,999394834041596
4;29/12/2022, 11:40:21,195;-0,0203260406851768;-0,0285535138100386;-0,999385595321655
5;29/12/2022, 11:40:22,210;-0,0205403007566929;-0,0285798851400614;-0,999380469322205
6;29/12/2022, 11:40:23,227;-0,0205878652632236;-0,0286516956984997;-0,999377429485321
7;29/12/2022, 11:40:24,173;-0,0204374771565199;-0,0286252908408642;-0,999381244182587
8;29/12/2022, 11:40:25,196;-0,0204192493110895;-0,0288400035351515;-0,999375462532044
9;29/12/2022, 11:40:26,166;-0,0203341357409954;-0,0287912338972092;-0,999378621578217
10;29/12/2022, 11:40:27,162;-0,0202541593462229;-0,0288968123495579;-0,999377191066742
11;29/12/2022, 11:40:28,159;-0,0201047211885452;-0,0290390867739916;-0,999376058578491
12;29/12/2022, 11:40:29,156;-0,0201478395611048;-0,0290678068995476;-0,999374389648438
13;29/12/2022, 11:40:30,152;-0,0200900565832853;-0,0288887415081263;-0,999380707740784
14;29/12/2022, 11:40:31,149;-0,020142300054431;-0,0287943333387375;-0,999382376670837
15;29/12/2022, 11:40:32,146;-0,0202980730682611;-0,0288387145847082;-0,999377965927124
16;29/12/2022, 11:40:33,142;-0,0204061977565289;-0,0287671349942684;-0,999377846717834
17;29/12/2022, 11:40:34,139;-0,020478131249547;-0,028724730014801;-0,999377548694611
18;29/12/2022, 11:40:35,135;-0,0206233188509941;-0,0287215337157249;-0,999374687671661
19;29/12/2022, 11:40:36,132;-0,0208439473062754;-0,0287468135356903;-0,999369382858276
20;29/12/2022, 11:40:37,129;-0,020881300792098;-0,0286712273955345;-0,999370753765106
21;29/12/2022, 11:40:38,131;-0,0209162961691618;-0,0285967122763395;-0,999372184276581
22;29/12/2022, 11:40:39,137;-0,0210014972835779;-0,0286038722842932;-0,999370157718658
23;29/12/2022, 11:40:40,135;-0,0211657285690308;-0,028574189171195;-0,999367535114288
24;29/12/2022, 11:40:41,138;-0,0211652107536793;-0,0284395683556795;-0,999371409416199
25;29/12/2022, 11:40:42,142;-0,0211312435567379;-0,0284793358296156;-0,999370992183685
26;29/12/2022, 11:40:43,161;-0,0210229810327292;-0,0284642558544874;-0,999373733997345
27;29/12/2022, 11:40:44,105;-0,0210744608193636;-0,0284036695957184;-0,999374330043793
28;29/12/2022, 11:40:45,121;-0,0210304390639067;-0,028314121067524;-0,999377846717834
29;29/12/2022, 11:40:46,136;-0,0211042053997517;-0,028237720951438;-0,999378442764282
30;29/12/2022, 11:40:47,153;-0,0209854021668434;-0,028067372739315;-0,999385714530945
31;29/12/2022, 11:40:48,154;-0,0208612978458405;-0,0278334207832813;-0,99939489364624
32;29/12/2022, 11:40:49,152;-0,0209557134658098;-0,0279263090342283;-0,999390304088592
33;29/12/2022, 11:40:50,159;-0,021146772429347;-0,027854610234499;-0,99938827753067
34;29/12/2022, 11:40:51,158;-0,0211064927279949;-0,0277917180210352;-0,99939090013504
35;29/12/2022, 11:40:52,163;-0,0210601128637791;-0,0280397888273001;-0,999384939670563
36;29/12/2022, 11:40:53,157;-0,0211337823420763;-0,0279739145189524;-0,999385237693787
37;29/12/2022, 11:40:54,164;-0,0210891216993332;-0,0279015749692917;-0,999388217926025
38;29/12/2022, 11:40:55,168;-0,019088065251708;-0,0281549841165543;-0,999421298503876
