ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 12:17:03,302;-0,23271869122982;-0,186273917555809;-0,954538643360138
2;29/12/2022, 12:17:04,319;-0,232944294810295;-0,18575955927372;-0,954583883285522
3;29/12/2022, 12:17:05,321;-0,233368575572968;-0,185288608074188;-0,954571783542633
4;29/12/2022, 12:17:06,322;-0,23350316286087;-0,184988155961037;-0,954597115516663
5;29/12/2022, 12:17:07,324;-0,23359403014183;-0,184406191110611;-0,954687476158142
6;29/12/2022, 12:17:08,326;-0,233777463436127;-0,184111282229424;-0,954699516296387
7;29/12/2022, 12:17:09,327;-0,233764484524727;-0,183776333928108;-0,954767227172852
8;29/12/2022, 12:17:10,329;-0,233658879995346;-0,183544486761093;-0,954837679862976
9;29/12/2022, 12:17:11,352;-0,233457863330841;-0,18334686756134;-0,954924762248993
10;29/12/2022, 12:17:12,331;-0,233424544334412;-0,183326676487923;-0,954936802387238
11;29/12/2022, 12:17:13,333;-0,233610242605209;-0,183392927050591;-0,954878687858582
12;29/12/2022, 12:17:14,336;-0,233473271131516;-0,183433175086975;-0,954904437065124
13;29/12/2022, 12:17:15,437;-0,233624786138535;-0,183577969670296;-0,954839587211609
14;29/12/2022, 12:17:16,434;-0,233730956912041;-0,183540150523186;-0,954820871353149
15;29/12/2022, 12:17:17,431;-0,234007358551025;-0,183617904782295;-0,954738199710846
16;29/12/2022, 12:17:18,427;-0,23398694396019;-0,183678671717644;-0,954731523990631
17;29/12/2022, 12:17:19,424;-0,234049797058105;-0,183526650071144;-0,954745352268219
18;29/12/2022, 12:17:20,421;-0,23401851952076;-0,183524087071419;-0,954753518104553
19;29/12/2022, 12:17:21,417;-0,234109789133072;-0,183444797992706;-0,95474636554718
20;29/12/2022, 12:17:22,414;-0,234171271324158;-0,183525815606117;-0,954715728759766
21;29/12/2022, 12:17:23,411;-0,234136462211609;-0,18352997303009;-0,954723417758942
22;29/12/2022, 12:17:24,407;-0,234013065695763;-0,183650314807892;-0,954730570316315
23;29/12/2022, 12:17:25,404;-0,233874693512917;-0,183438166975975;-0,954805254936218
24;29/12/2022, 12:17:26,407;-0,233912259340286;-0,18329069018364;-0,954824388027191
25;29/12/2022, 12:17:27,396;-0,233981385827065;-0,183307483792305;-0,954804241657257
26;29/12/2022, 12:17:28,393;-0,233813047409058;-0,183276206254959;-0,954851448535919
27;29/12/2022, 12:17:29,390;-0,233873263001442;-0,183235511183739;-0,954844534397125
