ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 12:15:11,244;-0,0447343215346336;-0,154735133051872;-0,986942708492279
2;29/12/2022, 12:15:12,258;-0,0451455526053906;-0,154575988650322;-0,986948907375336
3;29/12/2022, 12:15:13,261;-0,0456678494811058;-0,15442718565464;-0,986948192119598
4;29/12/2022, 12:15:14,262;-0,0456937775015831;-0,154206171631813;-0,986981511116028
5;29/12/2022, 12:15:15,264;-0,0459792092442512;-0,153943076729774;-0,987009346485138
6;29/12/2022, 12:15:16,265;-0,04613121971488;-0,153671070933342;-0,987044632434845
7;29/12/2022, 12:15:17,267;-0,0461642891168594;-0,153577968478203;-0,987057566642761
8;29/12/2022, 12:15:18,269;-0,0462910570204258;-0,153629586100578;-0,987043619155884
9;29/12/2022, 12:15:19,271;-0,0463818609714508;-0,153541281819344;-0,987053096294403
10;29/12/2022, 12:15:20,567;-0,0464572794735432;-0,153479784727097;-0,987059116363525
11;29/12/2022, 12:15:21,563;-0,0465753152966499;-0,15341928601265;-0,987062931060791
12;29/12/2022, 12:15:22,560;-0,0467483438551426;-0,15337923169136;-0,987060964107513
13;29/12/2022, 12:15:23,557;-0,0472014471888542;-0,153396219015121;-0,987036764621735
14;29/12/2022, 12:15:24,554;-0,0472713522613049;-0,153406783938408;-0,987031817436218
15;29/12/2022, 12:15:25,550;-0,0477422997355461;-0,153221637010574;-0,987037897109985
16;29/12/2022, 12:15:26,547;-0,0479155592620373;-0,15315555036068;-0,987039744853973
17;29/12/2022, 12:15:27,544;-0,0480256825685501;-0,153139963746071;-0,987036824226379
18;29/12/2022, 12:15:28,540;-0,0481745935976505;-0,153117194771767;-0,987033069133758
19;29/12/2022, 12:15:29,537;-0,0481930635869503;-0,152984499931335;-0,987052798271179
20;29/12/2022, 12:15:30,534;-0,0483803637325764;-0,15300264954567;-0,987040817737579
21;29/12/2022, 12:15:31,548;-0,0485729724168778;-0,152924433350563;-0,98704344034195
22;29/12/2022, 12:15:32,526;-0,0485594421625137;-0,152991771697998;-0,987033665180206
23;29/12/2022, 12:15:33,522;-0,0485662780702114;-0,152953669428825;-0,987039268016815
24;29/12/2022, 12:15:34,520;-0,048603605479002;-0,152918264269829;-0,987042903900146
25;29/12/2022, 12:15:35,518;-0,0484804809093475;-0,152792319655418;-0,987068474292755
26;29/12/2022, 12:15:36,514;-0,0484688989818096;-0,152544811367989;-0,987107336521149
27;29/12/2022, 12:15:37,511;-0,0488083735108376;-0,152500033378601;-0,987097501754761
28;29/12/2022, 12:15:38,507;-0,0490476116538048;-0,152654126286507;-0,98706179857254
29;29/12/2022, 12:15:39,504;-0,0492070950567722;-0,152607753872871;-0,987061083316803
30;29/12/2022, 12:15:40,501;-0,0491364076733589;-0,152493536472321;-0,987082242965698
31;29/12/2022, 12:15:41,498;-0,049163393676281;-0,152318760752678;-0,987107872962952
32;29/12/2022, 12:15:42,495;-0,0491556562483311;-0,152154803276062;-0,98713356256485
