ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 12:19:08,455;-0,253701210021973;-0,134427830576897;-0,957896053791046
2;29/12/2022, 12:19:09,461;-0,255086421966553;-0,133847191929817;-0,957609474658966
3;29/12/2022, 12:19:10,463;-0,255611062049866;-0,133477702736855;-0,957521140575409
4;29/12/2022, 12:19:11,464;-0,256050825119019;-0,133249446749687;-0,957435429096222
5;29/12/2022, 12:19:12,466;-0,256458580493927;-0,13310968875885;-0,957345724105835
6;29/12/2022, 12:19:13,468;-0,256618320941925;-0,13308010995388;-0,957307040691376
7;29/12/2022, 12:19:14,469;-0,25704699754715;-0,133127257227898;-0,957185447216034
8;29/12/2022, 12:19:15,471;-0,257288128137588;-0,133233278989792;-0,957105875015259
9;29/12/2022, 12:19:16,523;-0,257539063692093;-0,133171647787094;-0,957046985626221
10;29/12/2022, 12:19:17,473;-0,257579296827316;-0,133166968822479;-0,957036852836609
11;29/12/2022, 12:19:18,920;-0,2574602663517;-0,133152469992638;-0,957070827484131
12;29/12/2022, 12:19:19,917;-0,257487267255783;-0,13320255279541;-0,957056641578674
13;29/12/2022, 12:19:20,913;-0,257704704999924;-0,133205115795136;-0,956997752189636
14;29/12/2022, 12:19:21,910;-0,257713437080383;-0,133121892809868;-0,957006990909576
15;29/12/2022, 12:19:22,907;-0,257789999246597;-0,13303653895855;-0,956998229026794
16;29/12/2022, 12:19:23,903;-0,257746756076813;-0,132934540510178;-0,957024037837982
17;29/12/2022, 12:19:24,900;-0,257654309272766;-0,13303379714489;-0,95703512430191
18;29/12/2022, 12:19:25,914;-0,257385045289993;-0,133087188005447;-0,95710015296936
19;29/12/2022, 12:19:26,892;-0,257158249616623;-0,13299959897995;-0,9571732878685
20;29/12/2022, 12:19:27,888;-0,257047206163406;-0,132786199450493;-0,957232773303986
21;29/12/2022, 12:19:28,886;-0,257081061601639;-0,132790386676788;-0,957223117351532
22;29/12/2022, 12:19:29,883;-0,256999880075455;-0,132643178105354;-0,957265317440033
23;29/12/2022, 12:19:30,880;-0,257196366786957;-0,13260243833065;-0,957218170166016
24;29/12/2022, 12:19:31,875;-0,258123189210892;-0,132158130407333;-0,957030117511749
25;29/12/2022, 12:19:32,873;-0,258694440126419;-0,134574964642525;-0,9565389752388
