ID;Time;X-Axis;Y-Axis;Z-Axis
1;29/12/2022, 11:51:29,032;-0,066042423248291;-0,180240854620934;-0,98140287399292
2;29/12/2022, 11:51:30,029;-0,0658295527100563;-0,180283844470978;-0,981409311294556
3;29/12/2022, 11:51:31,026;-0,0656720101833344;-0,180238887667656;-0,98142808675766
4;29/12/2022, 11:51:32,022;-0,0658003389835358;-0,180132418870926;-0,981439054012299
5;29/12/2022, 11:51:33,019;-0,0658772885799408;-0,180085107684135;-0,98144257068634
6;29/12/2022, 11:51:34,017;-0,0656625628471374;-0,179868206381798;-0,981496751308441
7;29/12/2022, 11:51:35,013;-0,0656276568770409;-0,179849147796631;-0,981502592563629
8;29/12/2022, 11:51:36,010;-0,0656499937176704;-0,179651454091072;-0,981537282466888
9;29/12/2022, 11:51:37,007;-0,0657769739627838;-0,179670244455338;-0,981525361537933
10;29/12/2022, 11:51:38,053;-0,0656544491648674;-0,179647102952003;-0,981537759304047
11;29/12/2022, 11:51:38,998;-0,0654863491654396;-0,179755076766014;-0,981529235839844
12;29/12/2022, 11:51:39,995;-0,0652649626135826;-0,179649069905281;-0,9815633893013
13;29/12/2022, 11:51:40,993;-0,0652685314416885;-0,179679051041603;-0,981557667255402
14;29/12/2022, 11:51:41,990;-0,0654660388827324;-0,179649978876114;-0,981549859046936
15;29/12/2022, 11:51:42,987;-0,0654774457216263;-0,179646149277687;-0,981549799442291
16;29/12/2022, 11:51:43,984;-0,0654391124844551;-0,179467752575874;-0,981584966182709
17;29/12/2022, 11:51:44,980;-0,0654859840869904;-0,179445892572403;-0,98158586025238
18;29/12/2022, 11:51:45,977;-0,0656787380576134;-0,179391890764236;-0,981582820415497
19;29/12/2022, 11:51:46,974;-0,065837062895298;-0,179421439766884;-0,981566846370697
20;29/12/2022, 11:51:47,971;-0,0659115314483643;-0,179137378931046;-0,98161369562149
21;29/12/2022, 11:51:48,967;-0,0657722726464272;-0,17911371588707;-0,981627345085144
