#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B27282
#Date Time: 2022-12-20 13:01:33.235
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -7.95 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00210125,-0.05955140961729377,8.688521072594227
-0.0021,-0.05854806904258969,8.67393216581976
-0.002098749999999999,-0.05821362218435484,8.666637712432534
-0.0020975,-0.05787917532612029,8.677579392513378
-0.00209625,-0.05687583475141621,8.648401578964446
-0.002095,-0.05687583475141621,8.648401578964446
-0.00209375,-0.05520360046024272,8.637459898883597
-0.0020925,-0.05520360046024272,8.626518218802753
-0.00209125,-0.05353136616906926,8.611929312028282
-0.002089999999999999,-0.05486915360200727,8.611929312028279
-0.00208875,-0.05319691931083456,8.604634858641049
-0.0020875,-0.0531969193108338,8.597340405253814
-0.00208625,-0.05152468501966108,8.590045951866584
-0.002085,-0.050521344444957,8.568162591704885
-0.00208375,-0.0501868975867223,8.557220911624036
-0.0020825,-0.0495180038702529,8.549926458236804
-0.00208125,-0.0478457695790802,8.53169032476873
-0.00208,-0.04918355701201821,8.531690324768721
-0.002078749999999999,-0.04784576957907898,8.520748644687867
-0.0020775,-0.04684242900437534,8.509806964607023
-0.00207625,-0.04617353528790519,8.495218057832558
-0.002075,-0.04450130099673247,8.495218057832558
-0.00207375,-0.04550464157143656,8.484276377751709
-0.0020725,-0.04450130099673293,8.469687470977249
-0.00207125,-0.04249461984732431,8.451451337509161
-0.00207,-0.04316351356379339,8.447804110815545
-0.00206875,-0.0418257261308549,8.444156884121927
-0.002067499999999999,-0.04115683241438552,8.436862430734692
-0.00206625,-0.04115683241438552,8.433215204041078
-0.002065,-0.03948459812321205,8.411331843879379
-0.00206375,-0.03881570440674265,8.396742937104914
-0.0020625,-0.03781236383203856,8.389448483717681
-0.00206125,-0.03747791697380402,8.382154030330453
-0.00206,-0.03747791697380387,8.3712123502496
-0.00205875,-0.03714347011556933,8.35662344347514
-0.0020575,-0.035136788966161,8.352976216781517
-0.002056249999999999,-0.03547123582439493,8.345681763394278
-0.002055,-0.03379900153322221,8.334740083313434
-0.00205375,-0.03212676724204874,8.312856723151736
-0.0020525,-0.03279566095851813,8.305562269764504
-0.00205125,-0.03145787352557936,8.294620589683655
-0.00205,-0.03145787352557936,8.287326136296425
-0.00204875,-0.03045453295087526,8.276384456215572
-0.002047499999999999,-0.03045453295087435,8.269090002828337
-0.00204625,-0.02844785180146709,8.261795549441107
-0.002045,-0.02911674551793557,8.258148322747482
-0.00204375,-0.0271100643685283,8.239912189279408
-0.0020425,-0.027444511226763,8.225323282504943
-0.00204125,-0.02610672379382422,8.214381602424094
-0.00204,-0.02543783007735483,8.207087149036861
-0.00203875,-0.02343114892794757,8.185203788875173
-0.0020375,-0.02242780835324257,8.185203788875162
-0.002036249999999999,-0.02309670206971135,8.177909335487923
-0.002035,-0.02175891463677318,8.163320428713464
-0.00203375,-0.02209336149500696,8.159673202019839
-0.0020325,-0.0200866803455997,8.141437068551765
-0.00203125,-0.0200866803455997,8.134142615164533
-0.00203,-0.01908333977089607,8.126848161777303
-0.00202875,-0.01807999919619153,8.101317574921985
-0.0020275,-0.0170766586214879,8.09767034822837
-0.00202625,-0.01506997747207927,8.075786988066669
-0.002024999999999999,-0.01540442433031366,8.075786988066664
-0.00202375,-0.01473553061384457,8.064845307985822
-0.0020225,-0.01406663689737518,8.046609174517739
-0.00202125,-0.01473553061384457,8.039314721130506
-0.00202,-0.0127288494644364,8.039314721130506
-0.00201875,-0.01172550888973277,8.024725814356048
-0.0020175,-0.00971882774032414,8.02472581435604
-0.00201625,-0.01005327459855868,8.002842454194353
-0.002015,-0.009049934023854749,7.995548000807109
-0.002013749999999999,-0.00904993402385414,7.980959094032642
-0.0020125,-0.007712146590915967,7.977311867339028
-0.00201125,-0.007377699732681271,7.966370187258178
-0.00201,-0.005705465441507794,7.940839600402863
-0.00200875,-0.004367678008569012,7.926250693628397
-0.0020075,-0.004367678008569012,7.933545147015627
-0.00200625,-0.00302989057563023,7.915309013547549
-0.002004999999999999,-0.004367678008568404,7.900720106773084
-0.00200375,-0.00302989057563023,7.904367333466699
-0.0020025,-0.002026550000925535,7.88977842669223
-0.00200125,-0.000688762567987361,7.882483973305001
-0.002,0.000649024864951421,7.860600613143302
-0.00199875,0.000649024864951421,7.856953386449685
-0.0019975,0.0009834717231861165,7.849658933062453
-0.00199625,0.001986812297889747,7.846011706368838
-0.001995,0.003324599730828985,7.824128346207138
-0.001993749999999999,0.004327940305533376,7.802244986045434
-0.0019925,0.004996834022002463,7.791303305964591
-0.00199125,0.005665727738472158,7.791303305964585
-0.00199,0.006334621454941245,7.780361625883741
-0.00198875,0.007003515171410636,7.776714399190125
-0.0019875,0.008341302604349418,7.762125492415659
-0.00198625,0.009344643179053504,7.740242132253961
-0.001985,0.009679090037288047,7.740242132253961
-0.00198375,0.01034798375375759,7.736594905560344
-0.001982499999999999,0.01168577118669668,7.718358772092254
-0.00198125,0.01235466490316576,7.70012263862418
-0.00198,0.01202021804493107,7.696475411930564
-0.00197875,0.01335800547786985,7.685533731849715
-0.0019775,0.01402689919433924,7.667297598381633
-0.00197625,0.01503023976904287,7.667297598381633
-0.001975,0.01536468662727802,7.64906146491355
-0.00197375,0.01636802720198165,7.64906146491355
-0.0019725,0.01670247406021681,7.64906146491355
-0.001971249999999999,0.01804026149315605,7.634472558139075
-0.00197,0.01904360206785967,7.612589197977386
-0.00196875,0.01937804892609437,7.601647517896537
-0.0019675,0.02004694264256376,7.601647517896537
-0.00196625,0.02138473007550254,7.590705837815688
-0.001965,0.02205362379197163,7.576116931041228
-0.00196375,0.02339141122491072,7.565175250960372
-0.001962499999999999,0.02272251750844148,7.554233570879524
-0.00196125,0.02305696436667602,7.554233570879524
-0.00196,0.02539809237431889,7.550586344185898
-0.00195875,0.02539809237431889,7.528702984024209
-0.0019575,0.02539809237431889,7.528702984024209
-0.00195625,0.02740477352372706,7.50681962386251
-0.001955,0.02773922038196176,7.499525170475278
-0.00195375,0.02874256095666539,7.495877943781663
-0.0019525,0.02974590153136993,7.481289037007196
-0.001951249999999999,0.03041479524783993,7.470347356926339
-0.00195,0.0317525826807781,7.452111223458264
-0.00194875,0.03175258268077841,7.444816770071031
-0.0019475,0.03242147639724749,7.444816770071031
-0.00194625,0.03442815754665567,7.426580636602949
-0.001945,0.03309037011371689,7.419286183215717
-0.00194375,0.03409371068842097,7.411991729828483
-0.0019425,0.03543149812135914,7.408344503134869
-0.00194125,0.03576594497959446,7.390108369666786
-0.001939999999999999,0.03610039183782945,7.382813916279547
-0.00193875,0.03676928555429854,7.371872236198703
-0.0019375,0.03810707298723731,7.368225009505087
-0.00193625,0.03911041356194141,7.346341649343389
-0.001935,0.0394448604201761,7.339047195956155
-0.00193375,0.04078264785311426,7.320811062488081
-0.0019325,0.04145154156958428,7.32445828918169
-0.00193125,0.04044820099488064,7.317163835794461
-0.00193,0.04245488214428836,7.313516609100841
-0.001928749999999999,0.04245488214428897,7.309869382407213
-0.0019275,0.04379266957722715,7.28433879555191
-0.00192625,0.04412711643546184,7.287986022245525
-0.001925,0.04579935072663531,7.269749888777444
-0.00192375,0.04646824444310471,7.258808208696594
-0.0019225,0.04680269130133925,7.251513755309365
-0.00192125,0.04780603187604349,7.255160982002979
-0.00192,0.04814047873427803,7.244219301922135
-0.00191875,0.04880937245074757,7.225983168454047
-0.001917499999999999,0.04947826616721712,7.211394261679581
-0.00191625,0.04981271302545166,7.211394261679581
-0.001915,0.04914381930898228,7.211394261679581
-0.00191375,0.05215384103309453,7.196805354905115
-0.0019125,0.05215384103309453,7.178569221437034
-0.00191125,0.05416052218250178,7.174921994743419
-0.00191,0.05315718160779861,7.167627541356184
-0.001908749999999999,0.0541605221825027,7.153038634581719
-0.0019075,0.0541605221825027,7.153038634581719
-0.00190625,0.05516386275720694,7.134802501113635
-0.001905,0.05549830961544149,7.131155274420021
-0.00190375,0.05616720333191087,7.131155274420021
-0.0019025,0.05683609704838026,7.131155274420021
-0.00190125,0.05884277819778844,7.112919140951938
-0.0019,0.05884277819778844,7.101977460871094
-0.00189875,0.05951167191425782,7.101977460871089
-0.001897499999999999,0.06018056563072707,7.087388554096618
-0.00189625,0.05984611877249253,7.076446874015774
-0.001895,0.0615183530636657,7.072799647322151
-0.00189375,0.06084945934719661,7.058210740547692
-0.0018925,0.06218724678013539,7.065505193934925
-0.00189125,0.06252169363836993,7.047269060466851
-0.00189,0.06319058735483948,7.047269060466843
-0.00188875,0.06319058735483948,7.043621833773228
-0.0018875,0.06486282164601295,7.032680153692377
-0.001886249999999999,0.06486282164601387,7.032680153692367
-0.001885,0.06686950279542113,7.010796793530679
-0.00188375,0.06553171536248234,7.007149566837063
-0.0018825,0.06653505593718644,7.003502340143446
-0.00188125,0.06787284337012521,6.996207886756213
-0.00188,0.06787284337012521,6.985266206675369
-0.00187875,0.06787284337012521,6.985266206675364
-0.0018775,0.06921063080306339,6.977971753288134
-0.00187625,0.06854173708659461,6.967030073207282
-0.001874999999999999,0.06954507766129946,6.967030073207274
-0.00187375,0.07121731195247218,6.9487939397392
-0.0018725,0.07088286509423747,6.945146713045584
-0.00187125,0.07222065252717626,6.9487939397392
-0.00187,0.07188620566894156,6.934205032964734
-0.00186875,0.07255509938541065,6.919616126190275
-0.0018675,0.07389288681834974,6.926910579577502
-0.001866249999999999,0.07422733367658428,6.912321672803038
-0.001865,0.07389288681834974,6.915968899496653
-0.00186375,0.07456178053481989,6.915968899496639
-0.0018625,0.0762340148259926,6.886791085947721
-0.00186125,0.0762340148259926,6.894085539334954
-0.00186,0.0765684616842273,6.879496632560488
-0.00185875,0.0765684616842273,6.879496632560488
-0.0018575,0.07623401482599275,6.886791085947717
-0.00185625,0.07857514283363547,6.872202179173255
-0.001854999999999999,0.07723735540069715,6.864907725786022
-0.00185375,0.07824069597540077,6.864907725786022
-0.0018525,0.07957848340833987,6.86490772578601
-0.00185125,0.08024737712480895,6.839377138930708
-0.00185,0.08024737712480895,6.850318819011557
-0.00184875,0.07957848340833987,6.832082685543483
-0.0018475,0.08058182398304364,6.832082685543475
-0.00184625,0.08191961141598182,6.821141005462631
-0.001845,0.08325739884892121,6.821141005462626
-0.001843749999999999,0.08225405827421743,6.813846552075393
-0.0018425,0.08292295199068651,6.813846552075393
-0.00184125,0.08292295199068651,6.810199325381777
-0.00184,0.08292295199068651,6.813846552075393
-0.00183875,0.08325739884892121,6.802904871994544
-0.0018375,0.08325739884892121,6.810199325381773
-0.00183625,0.0842607394236253,6.795610418607311
-0.001835,0.0842607394236253,6.781021511832852
-0.00183375,0.08559852685656408,6.781021511832845
-0.001832499999999999,0.08492963314009515,6.788315965220074
-0.00183125,0.08593297371479877,6.781021511832845
-0.00183,0.08626742057303347,6.773727058445612
-0.00182875,0.08760520800597225,6.773727058445612
-0.0018275,0.08727076114773756,6.759138151671147
-0.00182625,0.08727076114773756,6.762785378364761
-0.001825,0.08727076114773756,6.75549092497753
-0.001823749999999999,0.08827410172244164,6.759138151671143
-0.0018225,0.08827410172244164,6.751843698283913
-0.00182125,0.08860854858067695,6.744549244896679
-0.00182,0.08994633601361512,6.740902018203064
-0.00181875,0.08860854858067634,6.740902018203064
-0.0018175,0.09028078287184982,6.729960338122215
-0.00181625,0.08961188915538043,6.737254791509448
-0.001815,0.09061522973008405,6.740902018203062
-0.00181375,0.09094967658831921,6.729960338122215
-0.001812499999999999,0.09094967658831936,6.722665884734979
-0.00181125,0.0912841234465539,6.71537143134775
-0.00181,0.09094967658831966,6.715371431347748
-0.00180875,0.09195301716302329,6.711724204654133
-0.0018075,0.0912841234465539,6.711724204654133
-0.00180625,0.09228746402125752,6.719018658041363
-0.001805,0.09295635773772738,6.711724204654133
-0.00180375,0.09262191087949284,6.70078252457329
-0.0018025,0.09329080459596208,6.708076977960517
-0.001801249999999999,0.09195301716302451,6.708076977960511
-0.0018,0.09462859202890085,6.693488071186051
-0.00179875,0.09295635773772738,6.697135297879668
-0.0017975,0.09429414517066616,6.697135297879668
-0.00179625,0.09395969831243146,6.697135297879668
-0.001795,0.094294145170666,6.697135297879668
-0.00179375,0.09429414517066616,6.682546391105202
-0.0017925,0.09496303888713525,6.689840844492432
-0.00179125,0.09496303888713556,6.686193617798819
-0.001789999999999999,0.09596637946183903,6.67889916441159
-0.00178875,0.09462859202890085,6.686193617798819
-0.0017875,0.09563193260360495,6.678899164411586
-0.00178625,0.09529748574537025,6.678899164411586
-0.001785,0.09563193260360495,6.686193617798819
-0.00178375,0.09630082632007403,6.682546391105204
-0.0017825,0.09596637946183964,6.678899164411586
-0.001781249999999999,0.09596637946183995,6.678899164411584
-0.00178,0.09663527317830903,6.675251937717969
-0.00177875,0.0959663794618401,6.689840844492427
-0.0017775,0.09696972003654372,6.671604711024353
-0.00177625,0.09596637946183964,6.675251937717969
-0.001775,0.09630082632007433,6.678899164411586
-0.00177375,0.09630082632007433,6.686193617798819
-0.0017725,0.0976386137530125,6.67889916441159
-0.00177125,0.09696972003654372,6.675251937717969
-0.001769999999999999,0.09696972003654387,6.667957484330742
-0.00176875,0.09730416689477842,6.678899164411586
-0.0017675,0.09730416689477796,6.678899164411582
-0.00176625,0.09630082632007433,6.671604711024353
-0.001765,0.09797306061124782,6.675251937717969
-0.00176375,0.09663527317830964,6.678899164411584
-0.0017625,0.09630082632007433,6.682546391105202
-0.00176125,0.09797306061124705,6.682546391105202
-0.00176,0.09797306061124782,6.678899164411586
-0.001758749999999999,0.09730416689477826,6.675251937717971
-0.0017575,0.09696972003654372,6.678899164411586
-0.00175625,0.09730416689477842,6.689840844492435
-0.001755,0.0986419543277172,6.678899164411586
-0.00175375,0.0986419543277172,6.671604711024353
-0.0017525,0.09763861375301357,6.667957484330739
-0.00175125,0.09696972003654372,6.697135297879668
-0.00175,0.09730416689477826,6.689840844492439
-0.00174875,0.09696972003654372,6.689840844492435
-0.001747499999999999,0.0976386137530125,6.689840844492437
-0.00174625,0.09630082632007433,6.693488071186051
-0.001745,0.09696972003654372,6.708076977960517
-0.00174375,0.0986419543277172,6.689840844492435
-0.0017425,0.09730416689477842,6.682546391105202
-0.00174125,0.09797306061124751,6.689840844492432
-0.00174,0.09730416689477842,6.689840844492435
-0.001738749999999999,0.0963008263200751,6.700782524573281
-0.0017375,0.09797306061124782,6.693488071186051
-0.00173625,0.09696972003654387,6.700782524573291
-0.001735,0.09730416689477842,6.71537143134775
-0.00173375,0.09696972003654372,6.711724204654133
-0.0017325,0.09630082632007433,6.711724204654133
-0.00173125,0.09630082632007433,6.711724204654133
-0.00173,0.09730416689477796,6.711724204654133
-0.00172875,0.09730416689477842,6.71537143134775
-0.001727499999999999,0.09630082632007418,6.715371431347751
-0.00172625,0.09596637946183964,6.719018658041366
-0.001725,0.09462859202890116,6.740902018203061
-0.00172375,0.09529748574537025,6.733607564815832
-0.0017225,0.09529748574537025,6.740902018203064
-0.00172125,0.09663527317830842,6.740902018203064
-0.00172,0.09529748574537025,6.744549244896681
-0.00171875,0.09462859202890116,6.748196471590296
-0.0017175,0.09496303888713556,6.751843698283913
-0.001716249999999999,0.09329080459596223,6.751843698283915
-0.001715,0.09362525145419677,6.75549092497753
-0.00171375,0.09429414517066616,6.759138151671147
-0.0017125,0.09395969831243146,6.762785378364763
-0.00171125,0.09496303888713556,6.770079831751996
-0.00171,0.09329080459596284,6.777374285139225
-0.00170875,0.09295635773772738,6.781021511832845
-0.0017075,0.09228746402125829,6.788315965220074
-0.00170625,0.09262191087949269,6.784668738526461
-0.001704999999999999,0.09262191087949299,6.795610418607304
-0.00170375,0.09329080459596208,6.781021511832845
-0.0017025,0.09329080459596208,6.795610418607311
-0.00170125,0.09262191087949269,6.791963191913695
-0.0017,0.08994633601361512,6.810199325381777
-0.00169875,0.09061522973008421,6.813846552075391
-0.0016975,0.0912841234465539,6.821141005462626
-0.001696249999999999,0.08994633601361574,6.821141005462631
-0.001695,0.0912841234465539,6.832082685543475
-0.00169375,0.09061522973008421,6.83208268554348
-0.0016925,0.08994633601361512,6.843024365624323
-0.00169125,0.08961188915538043,6.843024365624323
-0.00169,0.08927744229714572,6.839377138930708
-0.00168875,0.09028078287184982,6.843024365624323
-0.0016875,0.0886085485806771,6.853966045705167
-0.00168625,0.08827410172244164,6.868554952479639
-0.001684999999999999,0.08927744229714481,6.875849405866873
-0.00168375,0.08727076114773756,6.879496632560488
-0.0016825,0.0869363142895027,6.88314385925411
-0.00168125,0.08660186743126816,6.894085539334954
-0.00168,0.08559852685656408,6.890438312641337
-0.00167875,0.0866018674312677,6.905027219415797
-0.0016775,0.08626742057303347,6.905027219415803
-0.00167625,0.08593297371479892,6.901379992722188
-0.001675,0.08526407999832938,6.912321672803036
-0.001673749999999999,0.08559852685656377,6.912321672803041
-0.0016725,0.08492963314009469,6.923263352883885
-0.00167125,0.08292295199068651,6.934205032964734
-0.00167,0.08325739884892121,6.9487939397392
-0.00166875,0.08258850513245182,6.945146713045584
-0.0016675,0.08292295199068636,6.952441166432813
-0.00166625,0.08158516455774772,6.956088393126433
-0.001665,0.08258850513245136,6.967030073207277
-0.00166375,0.08191961141598243,6.970677299900898
-0.001662499999999999,0.08258850513245106,6.963382846513672
-0.00166125,0.08091627084127834,6.977971753288131
-0.00166,0.08024737712480895,6.985266206675364
-0.00165875,0.08024737712480895,6.992560660062597
-0.0016575,0.07924403655010487,7.003502340143446
-0.00165625,0.07924403655010487,7.010796793530675
-0.001655,0.07991293026657426,7.018091246917912
-0.001653749999999999,0.07723735540069715,7.021738473611528
-0.0016525,0.07824069597540077,7.021738473611528
-0.00165125,0.07690290854246154,7.039974607079612
-0.00165,0.0758995679677579,7.043621833773226
