spgr=1
0  CCMBS
0  BMABS

spgr=65
1  CMMM
3  AMMM
5  BMMM

spgr=66
1  CCCM
3  AMAA
5  BBMB

spgr=67
1  CMMA
2  CMMB
3  ABMM
4  ACMM
5  BMCM
6  BMAM

spgr=68
1  CCCAZ
2  CCCAS
3  CCCBZ
4  CCCBS
5  ABAAZ
6  ABAAS
7  ACAAZ
8  ACAAS
9  BBCBZ
10  BBCBS
11  BBABZ
12  BBABS

spgr=69
1  FMMM

spgr=70
1  FDDDZ
2  FDDDS

spgr=71
1  IMMM

spgr=72
1  IBAM
3  IMCB
5  ICMA
0  IBAMS
0  ICMAS

spgr=73
1  IBCA
2  ICAB

spgr=74
1  IMMA
2  IMMB
3  IBMM
4  ICMM
5  IMCM
6  IMAM

spgr=75
1  P4

spgr=76
1  P41

spgr=77
1  P42

spgr=78
1  P43

spgr=79
1  I4

spgr=80
1  I41

spgr=81
1  P4-

spgr=82
1  I4-

spgr=83
1  P4/M

spgr=84
1  P42/M

spgr=85
1  P4/NZ
2  P4/NS

spgr=86
1  P42/NZ
2  P42/NS

spgr=87
1  I4/M

spgr=88
1  I41/AZ
2  I41/AS

spgr=89
1  P422

spgr=90
1  P4212

spgr=91
1  P4122

spgr=92
1  P41212

spgr=93
1  P4222

spgr=94
1  P42212

spgr=95
1  P4322

spgr=96
1  P43212

spgr=97
1  I422

spgr=98
1  I4122

spgr=99
1  P4MM

spgr=100
1  P4BM

spgr=101
1  P42CM

spgr=102
1  P42NM

spgr=103
1  P4CC

spgr=104
1  P4NC

spgr=105
1  P42MC

spgr=106
1  P42BC

spgr=107
1  I4MM

spgr=108
1  I4CM

spgr=109
1  I41MD

spgr=110
1  I41CD

spgr=111
1  P4-2M

spgr=112
1  P4-2C

spgr=113
1  P4-21M

spgr=114
1  P4-21C

spgr=115
1  P4-M2

spgr=116
1  P4-C2

spgr=117
1  P4-B2
0  P4-B2S

spgr=118
1  P4-N2

spgr=119
1  I4-M2

spgr=120
1  I4-C2

spgr=121
1  I4-2M

spgr=122
1  I4-2D
1  I4-2DS

spgr=123
1  P4/MMM

spgr=124
1  P4/MCC

spgr=125
1  P4/NBMZ
