sub=3   6
P 1 2 1
P 1 2 1
P 1 1 2
P 1 1 2
P 2 1 1
P 2 1 1

sub=4   6
P 1 2_1 1
P 1 2_1 1
P 1 1 2_1
P 1 1 2_1
P 2_1 1 1
P 2_1 1 1

sub=5  18
C 1 2 1
A 1 2 1
A 1 1 2
B 1 1 2
B 2 1 1
C 2 1 1
A 1 2 1
C 1 2 1
B 1 1 2
A 1 1 2
C 2 1 1
B 2 1 1
I 1 2 1
I 1 2 1
I 1 1 2
I 1 1 2
I 2 1 1
I 2 1 1

sub=6   6
P 1 m 1
P 1 m 1
P 1 1 m
P 1 1 m
P m 1 1
P m 1 1

sub=7  18
P 1 c 1
P 1 a 1
P 1 1 a
P 1 1 b
P b 1 1
P c 1 1
P 1 n 1
P 1 n 1
P 1 1 n
P 1 1 n
P n 1 1
P n 1 1
P 1 a 1
P 1 c 1
P 1 1 b
P 1 1 a
P c 1 1
P b 1 1

sub=8  18
C 1 m 1
A 1 m 1
A 1 1 m
B 1 1 m
B m 1 1
C m 1 1
A 1 m 1
C 1 m 1
B 1 1 m
A 1 1 m
C m 1 1
B m 1 1
I 1 m 1
I 1 m 1
I 1 1 m
I 1 1 m
I m 1 1
I m 1 1

sub=9  18
C 1 c 1
A 1 a 1
A 1 1 a
B 1 1 b
B b 1 1
C c 1 1
A 1 n 1
C 1 n 1
B 1 1 n
A 1 1 n
C n 1 1
B n 1 1
I 1 a 1
I 1 c 1
I 1 1 b
I 1 1 a
I c 1 1
I b 1 1

sub=10  6
P 1 2/m 1
P 1 2/m 1
P 1 1 2/m
P 1 1 2/m
P 2/m 1 1
P 2/m 1 1

sub=11  6
P 1 2_1/m 1
P 1 2_1/m 1
P 1 1 2_1/m
P 1 1 2_1 m
P 2_1/m 1 1
P 2_1/m 1 1

sub=12 18
C 1 2/m 1
A 1 2/m 1
A 1 1 2/m
B 1 1 2/m
B 2/m 1 1
C 2/m 1 1
A 1 2/m 1
C 1 2/m 1
B 1 1 2/m
A 1 1 2/m
C 2/m 1 1
B 2/m 1 1
I 1 2/m 1
I 1 2/m 1
I 1 1 2/m
I 1 1 2/m
I 2/m 1 1
I 2/m 1 1

sub=13 18
P 1 2/c 1
P 1 2/a 1
P 1 1 2/a
P 1 1 2/b
P 2/b 1 1
P 2/c 1 1
P 1 2/n 1
P 1 2/n 1
P 1 1 2/n
P 1 1 2/n
P 2/n 1 1
P 2/n 1 1
P 1 2/a 1
P 1 2/c 1
P 1 1 2/b
P 1 1 2/a
P 2/c 1 1
P 2/b 1 1

sub=14 18
P 1 2_1/c 1
P 1 2_1/a 1
P 1 1 2_1/a
P 1 1 2_1/b
P 2_1/b 1 1
P 2_1/c 1 1
P 1 2_1/n 1
P 1 2_1/n 1
P 1 1 2_1/n
P 1 1 2_1/n
P 2_1/n 1 1
P 2_1/n 1 1
P 1 2_1/a 1
P 1 2_1/c 1
P 1 1 2_1/b
P 1 1 2_1/a
P 2_1/c 1 1
P 2_1/b 1 1

sub=15 18 
C 1 2/c 1
A 1 2/a 1
A 1 1 2/a
B 1 1 2/b
B 2/b 1 1
C 2/c 1 1
A 1 2/n 1
C 1 2/n 1
B 1 1 2/n
A 1 1 2/n
C 2/n 1 1
B 2/n 1 1
I 1 2/a 1
I 1 2/c 1
I 1 1 2/b
I 1 1 2/a
I 2/c 1 1
I 2/b 1 1

sub=16  6
P 2 2 2
P 2 2 2
P 2 2 2
P 2 2 2
P 2 2 2
P 2 2 2

sub=17  6
P 2 2 2_1
P 2 2 2_1
P 2_1 2 2
P 2_1 2 2
P 2 2_1 2
P 2 2_1 2

sub=18  6
P 2_1 2_1 2
P 2_1 2_1 2
P 2 2_1 2_1
P 2 2_1 2_1
P 2_1 2 2_1
P 2_1 2 2_1

sub=19  6
P 2_1 2_1 2_1
P 2_1 2_1 2_1
P 2_1 2_1 2_1
P 2_1 2_1 2_1
P 2_1 2_1 2_1
P 2_1 2_1 2_1

sub=20  6
C 2 2 2_1
C 2 2 2_1
A 2_1 2 2
A 2_1 2 2
B 2 2_1 2
B 2 2_1 2

sub=21  6
C 2 2 2
C 2 2 2
A 2 2 2
A 2 2 2
B 2 2 2
B 2 2 2

sub=22  6
F 2 2 2
F 2 2 2
F 2 2 2
F 2 2 2
F 2 2 2
F 2 2 2

sub=23  6
I 2 2 2
I 2 2 2
I 2 2 2
I 2 2 2
I 2 2 2
I 2 2 2

sub=24  6
I 2_1 2_1 2_1
I 2_1 2_1 2_1
I 2_1 2_1 2_1
I 2_1 2_1 2_1
I 2_1 2_1 2_1
I 2_1 2_1 2_1

sub=25  6
P m m 2
P m m 2
P 2 m m
P 2 m m
P m 2 m
P m 2 m

sub=26  6
P m c 2_1
P c m 2_1
P 2_1 m a
P 2_1 a m
P b 2_1 m
P m 2_1 b

sub=27  6
P c c 2
P c c 2
P 2 a a
P 2 a a
P b 2 b
P b 2 b

sub=28  6
P m a 2
P b m 2
P 2 m b
P 2 c m
P c 2 m
P m 2 a

sub=29  6
P c a 2_1
P b c 2_1
P 2_1 a b
P 2_1 c a
P c 2_1 b
P b 2_1 a

sub=30  6
P n c 2
P c n 2
P 2 n a
P 2 a n
P b 2 n
P n 2 b

sub=31  6
P m n 2_1
P n m 2_1
P 2_1 m n
P 2_1 n m
P n 2_1 m
P m 2_1 n

sub=32  6
P b a 2
P b a 2
P 2 c b
P 2 c b
P c 2 a
P c 2 a

sub=33  6
P n a 2_1
P b n 2_1
